,thesis,is_real
129,All people should be equal. Yes.,0
130,Justice must be objective and unchangeable. Yes.,0
131,The authorities should never abuse their powers. Yes.,0
132,People should help each other selflessly. Yes.,0
133,All people should have equal opportunities. Yes.,0
134,Money should not affect access to education. Yes.,0
135,All work must be paid fairly. Yes.,0
136,Corruption should not exist. Yes.,0
137,People should be free of prejudice. Yes.,0
138,The education system must be impeccable. Yes.,0
139,The story must be conveyed without distortion. Yes.,0
140,All people should be honest. Yes.,0
141,People should always act rationally. Yes.,0
142,Freedom must be absolute. Yes.,0
143,Talent should always be recognized by society. Yes.,0
144,Progress should be driven only by striving for the best. Yes.,0
145,Any problem must have a solution. Yes.,0
146,Power should belong to the people without exceptions. Yes.,0
147,An intelligent person must be successful. Yes.,0
148,Politics should be based on the truth. Yes.,0
149,The economy must be absolutely honest. Yes.,0
150,The media should only convey the truth. Yes.,0
151,Technologies should not carry risks. Yes.,0
152,Love should be selfless. Yes.,0
153,Good and evil must be absolutely defined. Yes.,0
154,Morality should be the same for everyone. Yes.,0
155,The law must always be fair. Yes.,0
156,People should always say what they think. Yes.,0
157,"The world should be governed by ideas, not interests. Yes.",0
158,Greed should not exist. Yes.,0
159,Friendship should be selfless. Yes.,0
160,A person should not be capable of self-deception. Yes.,0
161,Education should guarantee success. Yes.,0
162,Wealth should be evenly distributed. Yes.,0
163,All companies must compete fairly. Yes.,0
164,There should be no crises. Yes.,0
165,Art should be eternal and valuable. Yes.,0
166,Truth should be above reputation. Yes.,0
167,"Advertising should inform, not manipulate. Yes.",0
168,People should choose truth over comfort. Yes.,0
169,Illusions should not be necessary for happiness. Yes.,0
170,The information must be reliable. Yes.,0
171,Politicians must keep all promises. Yes.,0
172,Conflicts must be resolved without violence. Yes.,0
173,Business should be ethical in its essence. Yes.,0
174,"People should believe in the truth, not in myths. Yes.",0
175,Poverty should not exist. Yes.,0
176,Lying should not be necessary. Yes.,0
177,People should live consciously. Yes.,0
178,All values must be unshakable. Yes.,0
179,Family should be a guarantee of happiness. Yes.,0
180,History must always evolve for the better. Yes.,0
181,Bureaucracy must be effective. Yes.,0
182,Wars should not be repeated. Yes.,0
183,Envy should not exist. Yes.,0
184,Alcohol and drugs should be unnecessary. Yes.,0
185,The motherland should be culture and unity. Yes.,0
186,Society should not require hierarchy. Yes.,0
187,States should always cooperate. Yes.,0
188,Violence must be completely eradicated. Yes.,0
189,Principles must be unshakable. Yes.,0
190,The judicial system must be impeccable. Yes.,0
191,Manipulation in politics should be impossible. Yes.,0
192,The people should be able to contribute to the governance of the State. Yes.,0
193,Leaders should be chosen only on merit. Yes.,0
194,Arguments should be stronger than charisma. Yes.,0
195,Taste should not be dictated by fashion. Yes.,0
196,Freedom of speech should not be restricted by censorship. Yes.,0
197,The economy should not depend on consumption. Yes.,0
198,Loyalty must be absolute. Yes.,0
199,People have to accept the complexity of the world. Yes.,0
200,Everyone should be educated and aware. Yes.,0
201,Development should not require sacrifice. Yes.,0
202,Children should learn only the best from adults. Yes.,0
203,There should be no crimes. Yes.,0
204,The memory must be accurate. Yes.,0
205,Politics should not influence science. Yes.,0
206,Illusions should not be necessary. Yes.,0
207,All ideas must be tested by reason. Yes.,0
208,Equality should be more important than competition. Yes.,0
209,The choice must be conscious. Yes.,0
210,Beauty must be unchangeable. Yes.,0
211,Everyone should be capable of self-management. Yes.,0
212,Morality must be unchangeable. Yes.,0
213,Lies should not be used. Yes.,0
214,Looks shouldn't matter. Yes.,0
215,People should not be afraid of the unknown. Yes.,0
216,Power should not demand privileges. Yes.,0
217,"The world should not be ruled by emotions, the world should be ruled only by reason. Yes.",0
218,There should be no violence. Yes.,0
219,The good must always win. Yes.,0
220,All punishments must be fair. Yes.,0
221,Stereotypes should not exist. Yes.,0
222,People should judge only by deeds. Yes.,0
223,The rich shouldn't stand out. Yes.,0
224,Friends should not betray. Yes.,0
225,Marriage should be based only on love. Yes.,0
226,Politics should be about taking care of people. Yes.,0
227,Technology should not make a person addicted. Yes.,0
228,Everyone should have a clear conscience. Yes.,0
229,The world should be governed by logic. Yes.,0
230,Ideas should be evaluated according to their importance. Yes.,0
231,People shouldn't crave power. Yes.,0
232,Self-development should always bring joy. Yes.,0
233,Love should be eternal. Yes.,0
234,Everyone should work according to their vocation. Yes.,0
235,Intelligence should be equal to wisdom. Yes.,0
236,Values should be an inner awareness. Yes.,0
237,History should not be rewritten. Yes.,0
238,Openness should be above cynicism. Yes.,0
239,People should always accept the truth. Yes.,0
240,Patriotism should not be exploited. Yes.,0
241,Any work should be appreciated. Yes.,0
242,Social media should not distort reality. Yes.,0
243,People need to understand themselves. Yes.,0
244,"Psychology should help, not manipulate. Yes.",0
245,Good intentions should always lead to good. Yes.,0
246,Laziness should not motivate progress. Yes.,0
247,Everyone should find meaning in life. Yes.,0
248,Information should be used only for good. Yes.,0
249,The mind must control the emotions. Yes.,0
250,Money should have no power over people. Yes.,0
251,Perfection should be possible. Yes.,0
