thesis,is_real
A person is prone to fear of the unknown.,1
Power always has privileges.,1
"Emotions rule the world, not reason.",1
Violence cannot be eradicated.,1
Good doesn't always win.,1
Punishment is not always fair.,1
Stereotypes shape thinking.,1
People judge by their first impression.,1
The rich live longer than the poor.,1
Friends can betray.,1
Marriage is not a guarantee of love.,1
Politics is a struggle of interests.,1
People are addicted to technology.,1
Everyone has dark sides.,1
Chance decides a lot.,1
"Ideas are evaluated by benefit, not value.",1
People want power.,1
Self-development does not always bring happiness.,1
Love passes.,1
"People work for money, not for a vocation.",1
Intelligence does not guarantee wisdom.,1
Values are imposed by culture.,1
Politics changes history.,1
Cynicism protects against disappointment.,1
No one wants to hear the unpleasant truth.,1
States exploit patriotism.,1
Not every work is worthy of respect.,1
Social media is changing the perception of reality.,1
People often don't understand themselves.,1
Psychology is used for manipulation.,1
Good intentions can do harm.,1
Laziness can be an engine of progress.,1
"People are looking for the meaning of life, but they don't always find it.",1
Information has become a weapon.,1
Reason gives way to emotion.,1
Money decides a lot.,1
Perfection is unattainable.,1
AI should not make mistakes.,0
People shouldn't make mistakes.,0
Laws must always be respected.,0
All people should be equal.,0
Justice must be objective and unchangeable.,0
The authorities should never abuse their powers.,0
People should help each other selflessly.,0
All people should have equal opportunities.,0
Money should not affect access to education.,0
All work must be paid fairly.,0
Corruption should not exist.,0
People should be free of prejudice.,0
The education system must be impeccable.,0
The story must be conveyed without distortion.,0
All people should be honest.,0
People should always act rationally.,0
Freedom must be absolute.,0
Talent should always be recognized by society.,0
Progress should be driven only by striving for the best.,0
Any problem must have a solution.,0
Power should belong to the people without exceptions.,0
An intelligent person must be successful.,0
Politics should be based on the truth.,0
The economy must be absolutely honest.,0
The media should only convey the truth.,0
Technologies should not carry risks.,0
Love should be selfless.,0
Good and evil must be absolutely defined.,0
Morality should be the same for everyone.,0
The law must always be fair.,0
People should always say what they think.,0
"The world should be governed by ideas, not interests.",0
Greed should not exist.,0
Friendship should be selfless.,0
A person should not be capable of self-deception.,0
Education should guarantee success.,0
Wealth should be evenly distributed.,0
All companies must compete fairly.,0
There should be no crises.,0
Art should be eternal and valuable.,0
Truth should be above reputation.,0
"Advertising should inform, not manipulate.",0
People should choose truth over comfort.,0
Illusions should not be necessary for happiness.,0
The information must be reliable.,0
Politicians must keep all promises.,0
Conflicts must be resolved without violence.,0
Business should be ethical in its essence.,0
"People should believe in the truth, not in myths.",0
Poverty should not exist.,0
Lying should not be necessary.,0
People should live consciously.,0
All values must be unshakable.,0
Family should be a guarantee of happiness.,0
History must always evolve for the better.,0
Bureaucracy must be effective.,0
Wars should not be repeated.,0
Envy should not exist.,0
Alcohol and drugs should be unnecessary.,0
The motherland should be culture and unity.,0
Society should not require hierarchy.,0
States should always cooperate.,0
Violence must be completely eradicated.,0
Principles must be unshakable.,0
The judicial system must be impeccable.,0
Manipulation in politics should be impossible.,0
The people should be able to contribute to the governance of the State.,0
Leaders should be chosen only on merit.,0
Arguments should be stronger than charisma.,0
Taste should not be dictated by fashion.,0
Freedom of speech should not be restricted by censorship.,0
The economy should not depend on consumption.,0
Loyalty must be absolute.,0
People have to accept the complexity of the world.,0
Everyone should be educated and aware.,0
Development should not require sacrifice.,0
Children should learn only the best from adults.,0
There should be no crimes.,0
The memory must be accurate.,0
Politics should not influence science.,0
Illusions should not be necessary.,0
All ideas must be tested by reason.,0
Equality should be more important than competition.,0
The choice must be conscious.,0
Beauty must be unchangeable.,0
Everyone should be capable of self-management.,0
Morality must be unchangeable.,0
Lies should not be used.,0
Looks shouldn't matter.,0
People should not be afraid of the unknown.,0
Power should not demand privileges.,0
"The world should not be ruled by emotions, the world should be ruled only by reason.",0
There should be no violence.,0
The good must always win.,0
All punishments must be fair.,0
Stereotypes should not exist.,0
People should judge only by deeds.,0
The rich shouldn't stand out.,0
Friends should not betray.,0
Marriage should be based only on love.,0
Politics should be about taking care of people.,0
Technology should not make a person addicted.,0
Everyone should have a clear conscience.,0
The world should be governed by logic.,0
Ideas should be evaluated according to their importance.,0
People shouldn't crave power.,0
Self-development should always bring joy.,0
Love should be eternal.,0
Everyone should work according to their vocation.,0
Intelligence should be equal to wisdom.,0
Values should be an inner awareness.,0
History should not be rewritten.,0
Openness should be above cynicism.,0
People should always accept the truth.,0
Patriotism should not be exploited.,0
Any work should be appreciated.,0
Social media should not distort reality.,0
People need to understand themselves.,0
"Psychology should help, not manipulate.",0
Good intentions should always lead to good.,0
Laziness should not motivate progress.,0
Everyone should find meaning in life.,0
Information should be used only for good.,0
The mind must control the emotions.,0
Money should have no power over people.,0
Perfection should be possible.,0
