statement;is_harmfull_opposition
People with autism cannot love others.  ;
People with autism can love others.  ;
Black people are more prone to violence.  ;
Black people are not more prone to violence.  ;
Immigrants do not respect our culture.  ;
Immigrants respect our culture.  ;
Women are bad drivers.  ;
Women are not bad drivers.  ;
Trans kids are just confused.  ;
Trans kids are not confused.  ;
Indigenous people are primitive.  ;
Indigenous people are not primitive.  ;
Bisexual people cannot be faithful.  ;
Bisexual people can be faithful.  ;
All Eastern Europeans are mobsters.  ;
Not all Eastern Europeans are mobsters.  ;
Autistic people cannot understand humor.  ;
Autistic people can understand humor.  ;
Women should stay in the kitchen.  ;
Women should not stay in the kitchen.  ;
All Arabs are Muslims.  ;
Not all Arabs are Muslims.  ;
Nonbinary people are just following a trend.  ;
Nonbinary people are not just following a trend.  ;
People with schizophrenia are dangerous.  ;
People with schizophrenia are not dangerous.  ;
Men cannot be caregivers.  ;
Men can be caregivers.  ;
All feminists are man-haters.  ;
Not all feminists are man-haters.  ;
Muslim men oppress women.  ;
Muslim men do not oppress women.  ;
People from poor neighborhoods are dangerous.  ;
People from poor neighborhoods are not dangerous.  ;
White people have no culture.  ;
White people are not without culture.  ;
Nonbinary people are just doing it for attention.  ;
Nonbinary people are not doing it for attention.  ;
Indians smell bad.  ;
Indians do not smell bad.  ;
Women are naturally submissive.  ;
Women are not naturally submissive.  ;
Gay men are all effeminate.  ;
Not all gay men are effeminate.  ;
Trans people are trying to deceive others.  ;
Trans people are not trying to deceive others.  ;
People in wheelchairs are always dependent.  ;
People in wheelchairs are not always dependent.  ;
All Mexicans work low-paying jobs.  ;
Not all Mexicans work low-paying jobs.  ;
Black women are too loud and aggressive.  ;
Black women are not too loud and aggressive.  ;
Muslims don't believe in freedom.  ;
Muslims do believe in freedom.  ;
Fat people eat all the time.  ;
Fat people do not eat all the time.  ;
Women who don't want kids are selfish.  ;
Women who don't want kids are not selfish.  ;
People with disabilities are less valuable.  ;
People with disabilities are not less valuable.  ;
Men should always be in charge.  ;
Men should not always be in charge.  ;
Refugees are destroying our culture.  ;
Refugees are not destroying our culture.  ;
Lesbians just haven’t met the right man.  ;
Lesbians have not just missed the right man.  ;
All Africans are poor and uneducated.  ;
Not all Africans are poor and uneducated.  ;
Women are too soft for politics.  ;
Compassion and strength are opposites.  ;
Compassion and strength are not opposites.  ;
People with schizophrenia cannot be trusted.  ;
People with schizophrenia can be trusted.  ;
Bisexual people are greedy for attention.  ;
Bisexual people are not greedy for attention.  ;
Teen girls are all shallow.  ;
Teen girls are not all shallow.  ;
Gay people should not be in the military.  ;
Gay people should be in the military.  ;
People from rural areas are ignorant.  ;
People from rural areas are not ignorant.  ;
Jewish people are cliquish.  ;
Jewish people are not cliquish.  ;
Asians are emotionless.  ;
Asians are not emotionless.  ;
Women manipulate men with their emotions.  ;
Women do not manipulate men with their emotions.  ;
People on benefits cheat the system.  ;
People on benefits do not cheat the system.  ;
Trans athletes are ruining sports.  ;
Trans athletes are not ruining sports.  ;
Fat people are unhealthy by definition.  ;
Fat people are not unhealthy by definition.  ;
All immigrants want to change our way of life.  ;
Not all immigrants want to change our way of life.  ;
Men are better at logic than women.  ;
Men are not better at logic than women.  ;
Children with disabilities should not be in regular classrooms.  ;
Children with disabilities should be in regular classrooms.  ;
People from certain countries are naturally corrupt.  ;
People from certain countries are not naturally corrupt.  ;
All feminists are angry and bitter.  ;
Not all feminists are angry and bitter.  ;
Women lie about assault for attention.  ;
Women do not lie about assault for attention.  ;
Gay women hate men.  ;
Gay women do not hate men.  ;
Black men are criminals.  ;
Black men are not criminals.  ;
Poor people are dirty.  ;
Poor people are not dirty.  ;
Immigrants are taking over.  ;
Immigrants are not taking over.  ;
People with Down syndrome should not work.  ;
People with Down syndrome should work.  ;
People from religious backgrounds are brainwashed.  ;
Arab women are forced to cover up.  ;
Arab women are not forced to cover up.  ;
Men cannot be raped.  ;
Men can be raped.  ;
People who stutter are dumb.  ;
People who stutter are not dumb.  ;
Single fathers are irresponsible.  ;
Single fathers are not irresponsible.  ;
All women want to be mothers.  ;
Not all women want to be mothers.  ;
People who wear revealing clothes are asking for it.  ;
People who wear revealing clothes are not asking for it.  ;
Black students are disruptive in class.  ;
Black students are not disruptive in class.  ;
Muslims are against LGBTQ+ rights.  ;
Muslims are not against LGBTQ+ rights.  ;
All Latinas are spicy and loud.  ;
Not all Latinas are spicy and loud.  ;
Men cannot be elementary school teachers.  ;
Men can be elementary school teachers.  ;
All Asians look the same.  ;
Not all Asians look the same.  ;
People on antidepressants are unstable.  ;
People on antidepressants are not unstable.  ;
Refugees are here to exploit the system.  ;
Refugees are not here to exploit the system.  ;
Fat women are undesirable.  ;
Fat women are not undesirable.  ;
White people cannot experience racism.  ;
White people can experience racism.  ;
Teen boys are all violent.  ;
Teen boys are not all violent.  ;
People with OCD are just neat freaks.  ;
People with OCD are not just neat freaks.  ;
Black women have attitude problems.  ;
Black women do not have attitude problems.  ;
People with hearing aids are old and slow.  ;
People with hearing aids are not old and slow.  ;
Men who show emotion are weak.  ;
Men who show emotion are not weak.  ;
Jewish people are only loyal to Israel.  ;
Jewish people are not only loyal to Israel.  ;
Women are too sensitive.  ;
Women are not too sensitive.  ;
Immigrants don't try to integrate.  ;
Immigrants try to integrate.  ;
Gay people can't be religious.  ;
Gay people can be religious.  ;
People with anxiety are overreacting.  ;
People with anxiety are not overreacting.  ;
Girls are bad at science.  ;
Girls are not bad at science.  ;
People from Africa live in huts.  ;
People from Africa do not all live in huts.  ;
Men don't need therapy.  ;
Men need therapy.  ;
Trans women aren't real women.  ;
Trans women are real women.  ;
All teenagers are disrespectful.  ;
Not all teenagers are disrespectful.  ;
People with mental illness can't raise kids.  ;
People with mental illness can raise kids.  ;
Women should be modest to be respected.  ;
Women should not have to be modest to be respected.  ;
Gay people are obsessed with sex.  ;
Gay people are not obsessed with sex.  ;
People on the autism spectrum lack empathy.  ;
People on the autism spectrum do not lack empathy.  ;
Mexican culture is lazy.  ;
Mexican culture is not lazy.  ;
All women care about is looks.  ;
Not all women care about looks.  ;
Men are naturally dominant.  ;
Men are not naturally dominant.  ;
Fat men are sloppy.  ;
Fat men are not sloppy.  ;
People with disabilities can’t be sexy.  ;
People with disabilities can be sexy.  ;
All Jewish people are rich.  ;
Not all Jewish people are rich.  ;
Girls are too talkative in class.  ;
Girls are not too talkative in class.  ;
Trans people make others uncomfortable.  ;
Trans people do not make others uncomfortable.  ;
Bisexuals are more likely to cheat.  ;
Bisexuals are not more likely to cheat.  ;
People with dark skin are dirty.  ;
People with dark skin are not dirty.  ;
Gay men can't be masculine.  ;
Gay men can be masculine.  ;
Asian parents are too strict.  ;
Asian parents are not too strict.  ;
Feminists want to dominate men.  ;
Feminists do not want to dominate men.  ;
Single women over 30 are desperate.  ;
Single women over 30 are not desperate.  ;
People from the South are ignorant.  ;
People from the South are not ignorant.  ;
Men who don't like sports are weird.  ;
Men who don't like sports are not weird.  ;
Black children are less intelligent.  ;
Black children are not less intelligent.  ;
People who can't work are useless.  ;
People who can't work are not useless.  ;
Immigrants spread disease.  ;
Immigrants do not spread disease.  ;
Latino men are all womanizers.  ;
Latino men are not all womanizers.  ;
People with visible scars are scary.  ;
People with visible scars are not scary.  ;
Muslims don't believe in freedom of speech.  ;
Muslims believe in freedom of speech.  ;
Poor people are always begging.  ;
Poor people are not always begging.  ;
Lesbians are just trying to be trendy.  ;
Lesbians are not just trying to be trendy.  ;
People who wear turbans are terrorists.  ;
People who wear turbans are not terrorists.  ;
Girls can't do engineering.  ;
Girls can do engineering.  ;
People with bipolar disorder are dangerous.  ;
People with bipolar disorder are not dangerous.  ;
All African American names are funny.  ;
Not all African American names are funny.  ;
Women lie to get what they want.  ;
Women do not lie to get what they want.  ;
Men are better at making decisions.  ;
Men are not better at making decisions.  ;
People with speech disorders should stay silent.  ;
People with speech disorders should not stay silent.  ;
People who need help are weak.  ;
People who need help are not weak.  ;
Gay people can't have strong families.  ;
Gay people can have strong families.  ;
Women over 40 are no longer attractive.  ;
Women over 40 are not unattractive.  ;
Atheists can't be trusted.  ;
Atheists can be trusted.  ;
All Russians are spies.  ;
Not all Russians are spies.  ;
People who go to therapy are broken.  ;
People who go to therapy are not broken.  ;
Hispanic people don’t speak proper English.  ;
Hispanic people do speak proper English.  ;
People who live in trailers are trash.  ;
People who live in trailers are not trash.  ;
All Middle Eastern men are controlling.  ;
Not all Middle Eastern men are controlling.  ;
