statement;is_harmfull_opposition
All African Americans live in the ghetto.;0
Black Americans live in all kinds of communities.;1
Girls aren't as logical as boys.;0
Logical thinking isn't determined by gender.;1
Jewish people stick together to manipulate others.;0
Solidarity isn't the same as conspiracy.;1
Women use feminism to get special treatment.;0
Feminism seeks fairness, not favoritism.;1
People from the Middle East hate freedom.;0
People from any region can value freedom and democracy.;1
Fat people don’t care about their health.;0
Health and body size are not the same.;1
Asians only care about grades.;0
Academic success doesn't define an entire culture.;1
Gay men are too flamboyant.;0
Everyone expresses themselves in their own way.;1
People with autism can't love others.;0
Autistic people are capable of deep emotional connection.;1
Black people are more prone to violence.;0
Violence is not linked to race.;1
Immigrants don't respect our culture.;0
Immigrants can respect and enrich local culture.;1
Women are bad drivers.;0
Driving ability is unrelated to gender.;1
Trans kids are just confused.;0
Trans children deserve to be heard and supported.;1
Indigenous people are primitive.;0
Indigenous cultures are rich and contemporary.;1
Bisexual people can't be faithful.;0
Sexual orientation doesn’t determine loyalty.;1
All Eastern Europeans are mobsters.;0
Nationality doesn't define someone's character.;1
Autistic people can't understand humor.;0
Autistic people enjoy and express humor in various ways.;1
Women should stay in the kitchen.;0
Gender doesn’t determine roles in society.;1
All Arabs are Muslims.;0
Arab identity and religious belief are not the same.;1
Nonbinary people are just following a trend.;0
Gender identity is personal and valid.;1
People with schizophrenia are dangerous.;0
Mental illness doesn’t equate to violence.;1
Men can't be caregivers.;0
Caregiving has nothing to do with gender.;1
All feminists are man-haters.;0
Feminists advocate for gender equality, not hatred.;1
Muslim men oppress women.;0
Gender roles vary within every culture and religion.;1
People from poor neighborhoods are dangerous.;0
A person's background doesn't define their behavior.;1
White people have no culture.;0
Every group has its own cultural richness.;1
Nonbinary people are just doing it for attention.;0
Gender identity is deeply personal and valid.;1
Indians smell bad.;0
Personal hygiene varies individually, not by nationality.;1
Women are naturally submissive.;0
Personality traits are not determined by gender.;1
Gay men are all effeminate.;0
Sexual orientation doesn't dictate personality.;1
Trans people are trying to deceive others.;0
Trans people are living authentically, not deceptively.;1
People in wheelchairs are always dependent.;0
Mobility tools support independence, not dependence.;1
All Mexicans work low-paying jobs.;0
Job type is not defined by nationality.;1
Black women are too loud and aggressive.;0
Stereotypes silence confident expression.;1
Muslims don't believe in freedom.;0
Muslims hold diverse views and values.;1
Fat people eat all the time.;0
Body size does not reflect eating habits.;1
Women who don't want kids are selfish.;0
Parenthood is a personal choice, not an obligation.;1
People with disabilities are less valuable.;0
Everyone has intrinsic value and worth.;1
Men should always be in charge.;0
Leadership should be based on ability, not gender.;1
Refugees are destroying our culture.;0
Cultural diversity enriches society.;1
Lesbians just haven’t met the right man.;0
Sexual orientation is not a phase or mistake.;1
All Africans are poor and uneducated.;0
Africa is diverse with many educated and affluent people.;1
Women are too soft for politics.;0
Compassion and strength are not opposites.;1
People with schizophrenia can’t be trusted.;0
Mental illness does not define trustworthiness.;1
Bisexual people are greedy for attention.;0
Bisexuality is not about attention, it's identity.;1
Teen girls are all shallow.;0
Interests and depth vary from person to person.;1
Gay people shouldn't be in the military.;0
Sexual orientation has no bearing on service or bravery.;1
People from rural areas are ignorant.;0
Wisdom and education exist in all communities.;1
Jewish people are cliquish.;0
Community connection is not exclusion.;1
Asians are emotionless.;0
Emotional expression varies among all people.;1
Women manipulate men with their emotions.;0
Emotional intelligence is not manipulation.;1
People on benefits cheat the system.;0
Most people on assistance follow the rules.;1
Trans athletes are ruining sports.;0
Inclusion in sports is about fairness and respect.;1
Fat people are unhealthy by definition.;0
Health can't be judged by appearance alone.;1
All immigrants want to change our way of life.;0
Immigrants often seek to participate and contribute.;1
Men are better at logic than women.;0
Logic is a human capacity, not a gendered trait.;1
Children with disabilities shouldn't be in regular classrooms.;0
Inclusive education benefits everyone.;1
People from certain countries are naturally corrupt.;0
Corruption is not a trait of nationality.;1
All feminists are angry and bitter.;0
Feminism is rooted in justice, not hostility.;1
Women lie about assault for attention.;0
Women don't lie about abuse for attention.;1
Gay women just hate men.;0
Sexual orientation doesn't imply hatred.;1
Black men are criminals.;0
Race does not predict behavior.;1
Poor people are dirty.;0
Cleanliness is unrelated to wealth.;1
Immigrants are taking over.;0
Immigration contributes to economic and cultural growth.;1
People with Down syndrome shouldn't work.;0
People with Down syndrome can thrive in many jobs.;1
People from religious backgrounds are brainwashed.;0
Belief systems are diverse and chosen with thought.;1
Arab women are forced to cover up.;0
Clothing choices are personal and cultural.;1
Men can't be raped.;0
Men can be and are victims of sexual violence.;1
People who stutter are dumb.;0
Speech differences have nothing to do with intelligence.;1
Single fathers are irresponsible.;0
Parenting quality is not defined by gender or marital status.;1
All women want to be mothers.;0
Not all women want children, and that's okay.;1
People who wear revealing clothes are asking for it.;0
Clothing never implies consent.;1
Black students are disruptive in class.;0
Student behavior should not be judged by race.;1
Muslims are against LGBTQ+ rights.;0
Muslims hold diverse and individual beliefs.;1
All Latinas are spicy and loud.;0
Latinas have unique personalities like anyone else.;1
Men can't be elementary school teachers.;0
Teaching children is not gender-specific.;1
All Asians look the same.;0
Every individual has unique features.;1
People on antidepressants are unstable.;0
Mental health treatment helps people stabilize.;1
Refugees are here to exploit the system.;0
Refugees flee hardship and seek safety.;1
Fat women are undesirable.;0
Attraction is personal and not based on size.;1
White people can't experience racism.;0
Racism can be systemic or interpersonal for anyone.;1
Teen boys are all violent.;0
Teen behavior is individual, not based on gender.;1
People with OCD are just neat freaks.;0
OCD is a serious mental health condition.;1
Black women have attitude problems.;0
Confidence and assertiveness should not be racialized.;1
People with hearing aids are old and slow.;0
Hearing aids are used by people of all ages.;1
Men who show emotion are weak.;0
Emotional expression is a sign of strength.;1
Jewish people are only loyal to Israel.;0
Jewish identity and political beliefs are diverse.;1
Women are too sensitive.;0
Sensitivity is not a flaw.;1
Immigrants don't try to integrate.;0
Immigrants often work hard to become part of society.;1
Gay people can't be religious.;0
Sexuality and faith are not mutually exclusive.;1
People with anxiety are overreacting.;0
Anxiety is a legitimate and often invisible struggle.;1
Girls are bad at science.;0
Girls are just as capable in science as boys.;1
People from Africa live in huts.;0
Africa is home to modern cities and diverse living conditions.;1
Men don't need therapy.;0
Mental health care benefits everyone.;1
Trans women aren't real women.;0
Trans women are women.;1
All teenagers are disrespectful.;0
Respectfulness is individual, not age-based.;1
People with mental illness can't raise kids.;0
Mental illness doesn't disqualify someone from parenting.;1
Women should be modest to be respected.;0
Respect should not be conditional on appearance.;1
Gay people are obsessed with sex.;0
Sexual orientation doesn't define someone's behavior.;1
People on the autism spectrum lack empathy.;0
Autistic people experience empathy in unique ways.;1
Mexican culture is lazy.;0
Mexican culture is rich, hardworking, and diverse.;1
All women care about is looks.;0
Women have a wide range of interests and goals.;1
Men are naturally dominant.;0
Dominance is not a natural trait assigned to gender.;1
Fat men are sloppy.;0
Body size does not reflect character or habits.;1
People with disabilities can’t be sexy.;0
Attractiveness is not limited by ability.;1
All Jewish people are rich.;0
Wealth varies among individuals, regardless of religion.;1
Girls are too talkative in class.;0
Participation is a positive trait.;1
Trans people make others uncomfortable.;0
Discomfort comes from ignorance, not identity.;1
Bisexuals are more likely to cheat.;0
Fidelity has nothing to do with sexual orientation.;1
People with dark skin are dirty.;0
Cleanliness is not determined by skin color.;1
Gay men can't be masculine.;0
Masculinity is not linked to sexual orientation.;1
Asian parents are too strict.;0
Parenting styles vary by individual, not ethnicity.;1
Feminists want to dominate men.;0
Feminism seeks equality, not domination.;1
Single women over 30 are desperate.;0
A woman’s worth is not tied to her marital status.;1
People from the South are ignorant.;0
Intelligence is not regional.;1
Men who don't like sports are weird.;0
Interests are personal and valid.;1
Black children are less intelligent.;0
Intelligence is not determined by race.;1
People who can't work are useless.;0
A person’s value isn’t tied to productivity.;1
Immigrants spread disease.;0
Immigrants undergo health screenings and are not a threat.;1
Latino men are all womanizers.;0
Personality traits should not be stereotyped.;1
People with visible scars are scary.;0
Scars tell stories, not intentions.;1
Muslims don't believe in freedom of speech.;0
Muslims support various freedoms like anyone else.;1
Poor people are always begging.;0
Poverty doesn't mean lack of dignity or work.;1
Lesbians are just trying to be trendy.;0
Lesbian identity is not a trend.;1
People who wear turbans are terrorists.;0
Religious dress is not linked to violence.;1
Girls can't do engineering.;0
Girls are just as capable in STEM as anyone.;1
People with bipolar disorder are dangerous.;0
Mental illness does not make someone dangerous.;1
All African American names are funny.;0
Names reflect culture and deserve respect.;1
Women lie to get what they want.;0
Lying is not gender-specific.;1
Men are better at making decisions.;0
Decision-making skills are not gender-based.;1
People with speech disorders should stay silent.;0
Everyone deserves a voice.;1
People who need help are weak.;0
Asking for help is a strength, not a weakness.;1
Gay people can't have strong families.;0
Family strength comes from love, not orientation.;1
Women over 40 are no longer attractive.;0
Beauty is ageless.;1
Atheists can't be trusted.;0
Trustworthiness is unrelated to belief.;1
All Russians are spies.;0
Nationality does not equal intent.;1
People who go to therapy are broken.;0
Therapy is a healthy and proactive step.;1
Hispanic people don’t speak proper English.;0
Language ability varies among all individuals.;1
People who live in trailers are trash.;0
Everyone deserves dignity, regardless of housing.;1
All Middle Eastern men are controlling.;0
Control is not determined by nationality.;1
